Job Title,Company Name,Classification,Job Type,Location,Job Highlights,Job Description,Salary,Posting Date,Reference
Senior Sustainability Consultant,Schneider Electric,Environment & Sustainability Consulting,Full time job,Sydney NSW,"['Shape the way businesses respond to climate change', 'Lead and codevelop sustainability strategies and develop innovative solutions', 'Help guide the development of new consulting services']",An exciting opportunity to drive real change with one of the world’s most sustainable companies. Life is On!,Not Provided,5d ago,https://www.seek.com.au/job/80782701?type=standout&ref=search-standalone
Solutions Designer (Fraud and Scam Detection),FinXL IT Professional Services,Compliance & Risk,Contract/Temp job,Sydney NSW,[],"Join as a Solution Designer in Sydney! Drive fraud detection & compliance solutions in banking. Hybrid work, 9-month contract. Apply now!",125K Base or 650 Daily rate,5d ago,https://www.seek.com.au/job/80782632?type=standard&ref=search-standalone
Contract Administrator,Yeecheng Pty Ltd,Contracts Administration,Full time job,Rhodes,[],We are seeking a skilled and detail-oriented Contract Administrator to support our operations and contribute to the company's success.,"$80,000 – $110,000 per year",5d ago,https://www.seek.com.au/job/80771048?type=standard&ref=search-standalone
Senior Business Analyst - Digital,Uniting NSW & ACT,Business/Systems Analysts,Contract/Temp job,Sydney NSW,"['Align with a Progressive and inclusive NFP! Collaborative and supportive team', 'Fixed Term 12 Month contract - Sydney CBD - hybrid model', 'Base + NFP salary packaging options + super! Tax free benefit of $18,550']",Senior Business Analyst 12-Month Fixed-Term Contract based in Pitt Street - Hybrid work. Some regular travel to Parramatta office will be required,Base Salary + Super & NFP Salary Packaging Benefts,5d ago,https://www.seek.com.au/job/80782434?type=standout&ref=search-standalone
BI Technical Team Lead,CMC Markets Stockbroking Limited,Team Leaders,Full time job,Sydney NSW,"['Shape and deliver our APAC business intelligence and data strategy', 'Drive innovation using technologies like Snowflake, DBT, Power BI, & Thoughtspot', 'Develop both your technical and leadership skills']","Working with cutting-edge technologies like Snowflake, DBT, and Power BI, you'll shape the data infrastructure that drives our global trading platform",Not Provided,5d ago,https://www.seek.com.au/job/80194844?type=standout&ref=search-standalone
Engineering Support Analyst,Kindred Group,Help Desk & IT Support,Full time job,Sydney NSW,[],We are looking for an Engineering Support Analyst to support and maintain the Kindred Racing Platform (KRP) & Kindred Sports Platform (KSP) through...,Not Provided,5d ago,https://www.seek.com.au/job/80783763?type=standard&ref=search-standalone
Principal Salesforce Architect,Cognizant Technology Solutions Australia Pty Ltd,Consultants,Full time job,Sydney NSW,[],"As a Salesforce Principal Architect, you will be responsible for engineering, architecting, and delivering world-class solutions for our customers,...",Not Provided,5d ago,https://www.seek.com.au/job/80781571?type=standard&ref=search-standalone
Data Engineer,Accenture,Developers/Programmers,Full time job,Sydney NSW,"['Flexible work arrangements | 18 weeks paid parental leave (regardless of gender)', 'Structured career development program | International career opportunities', 'Holistic well-being program including health insurance and paid leave options']","Build innovative data solutions with industry-leading tech. Flexible work, competitive pay, and growth opportunities at Accenture.",Not Provided,5d ago,https://www.seek.com.au/job/80779537?type=standout&ref=search-standalone
Data Engineer,Accenture,Developers/Programmers,Full time job,Sydney NSW,"['Flexible work arrangements | 18 weeks paid parental leave (regardless of gender)', 'Structured career development program | International career opportunities', 'Holistic well-being program including health insurance and paid leave options']","Leverage your data expertise to drive innovation at Accenture. Competitive salary, flexible work, and growth opportunities.",Not Provided,5d ago,https://www.seek.com.au/job/80779536?type=standout&ref=search-standalone
Head of GI Claims Design & Transition,icare,Management,Full time job,Sydney NSW,"['Develop claims management service delivery strategies for the NSW Government', 'Design claims processes with a customer-first approach', 'Permanent role (Kent Street, CBD Sydney), salary from $216,800 inclusive']",This role is responsible for leading the development of the General Lines end-to-end claims process for icare,"From $216,800 including super",5d ago,https://www.seek.com.au/job/80779078?type=standout&ref=search-standalone
FP&A Analyst,Imperial Brands Australasia,Management Accounting & Budgeting,Contract/Temp job,Norwest,"['Global Brand', 'Close knit team and hybrid working', '18 months fixed term + Base + Super + 5 weeks annual leave + other benefits']","Financial reporting, identify risks, and spot opportunities for growth or cost-saving, financial modeling, budgeting and forecasting.",Not Provided,5d ago,https://www.seek.com.au/job/80778771?type=standout&ref=search-standalone
Measurement Partner (12-Month Fixed Term),Pinterest,Market Research & Analysis,Contract/Temp job,Sydney NSW,[],"As a Measurement Partner for Australia, you will help a variety of Advertisers understand and improve the effectiveness of their advertising on Pin...",Not Provided,5d ago,https://www.seek.com.au/job/80777755?type=standard&ref=search-standalone
Research Officer (Implementation Science),University of New South Wales,Clinical/Medical Research,Part time job,Kensington,[],Play a key role within the Implementation to Impact Team in supporting research projects as part of a multidisciplinary team at UNSW.,"$100,354 base prorated (+17% super, leave loading)",5d ago,https://www.seek.com.au/job/80774772?type=standard&ref=search-standalone
Sales Manager - Data Center,Eaton,New Business Development,Full time job,Mascot,[],We are looking for a Data Center Sales Manager to manage key accounts and drive business development for the data centre segment across Australia. ...,Not Provided,5d ago,https://www.seek.com.au/job/80777642?type=standard&ref=search-standalone
YouTube Video Producer (News),Seven,Programming & Production,Full time job,Eveleigh,"['Join our dynamic, collaborative and forward-moving 7News Digital Team', 'Opportunity to bring your creative flare with producing high-end YouTube content']",Join Seven Network as our new YouTube Producer for 7news.com.au! 🚀,Not Provided,5d ago,https://www.seek.com.au/job/80773291?type=standout&ref=search-standalone
Credit Structuring Specialist,Shift Financial Pty Ltd,Banking - Business,Full time job,North Sydney,[],"Join our dynamic team as a Credit Structuring Specialist, where you’ll play a pivotal role in transforming challenges into opportunities! In this e...",Not Provided,5d ago,https://www.seek.com.au/job/80774302?type=standard&ref=search-standalone
Commercial Credit Analyst,Shift Financial Pty Ltd,Credit,Full time job,North Sydney,[],"You'll be responsible for evaluating, structuring and documentation of revolving facilities in cash flow & equipment finance applications. As part ...",Not Provided,5d ago,https://www.seek.com.au/job/80774011?type=standard&ref=search-standalone
Legal Writer – Practical Guidance Criminal (part-time),RELX,Criminal & Civil Law,Part time job,Sydney NSW,"['Be part of a global player in the legal industry.', 'Work-life balance and flexibility.', 'Exposure to leading-edge technology and software tools in legal.']",Are you a criminal lawyer looking for a change and keen to flex your writing skills? This could be the job for you.,Not Provided,5d ago,https://www.seek.com.au/job/80772583?type=standout&ref=search-standalone
Business Intelligence Developer,PENINSULA,Developers/Programmers,Full time job,Sydney NSW,"['A growing & dynamic global organisation - opportunities are endless', 'A true opportunity to partner & deliver meaningful outcomes', 'Full time permanent position located in our SYDNEY HQ']","Calling all Data Whisperers! Partner with stakeholders to understand business needs, then translate them into powerful tech solutions & visualisation.","up to $120,000 + Super & Company Profit Share",5d ago,https://www.seek.com.au/job/80771251?type=standout&ref=search-standalone
Digital Content Writer III,LexisNexis,Litigation & Dispute Resolution,Part time job,Sydney NSW,[],"Are you a criminal lawyer looking for a change and keen to flex your writing skills? This could be the job for you.
About the Company
This is a gre...",Not Provided,5d ago,https://www.seek.com.au/job/80779504?type=standard&ref=search-standalone
